content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
nice and helpful doctor...god bless,5,nice and helpful bless,4,nice helpful bless,3
good,1,good,1,good,1
good. very helpful,3,good very helpful,3,good helpful,2
"communicative doctor, have used this application several times. treatment is quite targeted",12,communicative doctor have used this application several times treatment is quite targeted,12,communicative doctor used application several times treatment quite targeted,9
the best way to consult a doctor in an emergency or when you can't leave the house,17,the best way to consult  doctor in an emergency or when you cant leave the house,16,best way consult doctor emergency cant leave house,8
the refund process is unclear. cs response via chat is very slow. almost never connected. i'm desperate to use halodoc. it's like a trash app.,25,the refund process is unclear cs response via chat is very slow almost never connected im desperate to use halodoc its like  trash app,24,refund process unclear cs response via chat slow almost never connected im desperate use halodoc like trash app,18
good,1,good,1,good,1
makes it easy to buy medicine without having to leave the house,12,makes it easy to buy medicine without having to leave the house,12,makes easy buy medicine without leave house,7
help me to get a medicine and the payment is very easy and the delivery is too fast,18,help me to get  medicine and the payment is very easy and the delivery is too fast,17,help get medicine payment easy delivery fast,7
"the medicine arrived as described, arrived very quickly and as expected. the outer plastic packaging is tightly attached, so it is safe to ensure that the medicine is as ordered.",30,the medicine arrived as described arrived very quickly and as expected the outer plastic packaging is tightly attached so it is safe to ensure that the medicine is as ordered,30,medicine arrived described arrived quickly expected outer plastic packaging tightly attached safe ensure medicine ordered,15
good doctor,2,good doctor,2,good doctor,2
fast delivery...the price of the item purchased is also the normal price,12,fast price of the item purchased is also the normal price,11,fast price item purchased also normal price,7
good,1,good,1,good,1
practical and no hassle =),5,practical and no hassle,4,practical hassle,2
very helpful,2,very helpful,2,helpful,1
"good service, and friendly doctor",5,good service and friendly doctor,5,good service friendly doctor,4
it really makes it easier for me to consult with a specialist doctor.,13,it really makes it easier for me to consult with  specialist doctor,12,really makes easier consult specialist doctor,6
"sir, please fix it, when i want to enter the gopay otp for payment, it gives an error",18,sir please fix it when  want to enter the gopay otp for payment it gives an error,17,sir please fix want enter gopay otp payment gives error,10
good,1,good,1,good,1
..helped when doing isoman...,4,when doing isoman,3,isoman,1
this app really helps,4,this app really helps,4,app really helps,3
easy to use and complete with medicines,7,easy to use and complete with medicines,7,easy use complete medicines,4
ntab,1,ntab,1,ntab,1
"fast delivery, easy to use",5,fast delivery easy to use,5,fast delivery easy use,4
very helpful,2,very helpful,2,helpful,1
sooooo fast,2,sooooo fast,2,sooooo fast,2
"""unable to find bla bla bla"" search for medicine using brand and symptom keywords, none of them are there, using indonesian and english is the same,,, bbzzzzzz what a waste 😧",31,unable to find bla bla bla search for medicine using brand and symptom keywords none of them are there using indonesian and english is the same bbzzzzzz what  waste,29,unable find bla bla bla search medicine using brand symptom keywords none using indonesian english bbzzzzzz waste,17
i was lying down in pain and had difficulty moving...and couldn't go out to look for medicine...then i tried to look for painkillers from the halodoc application...a few minutes later the medicine arrived...thank you halodoc,35, was lying down in pain and had difficulty couldnt go out to look for  tried to look for painkillers from the halodoc applicationa few minutes later the medicine you halodoc,30,lying pain difficulty couldnt go look tried look painkillers halodoc applicationa minutes later medicine halodoc,15
quick & very helpful,4,quick very helpful,3,quick helpful,2
good,1,good,1,good,1
very helpful!,2,very helpful,2,helpful,1
"fast, precise & quality service",5,fast precise quality service,4,fast precise quality service,4
now you can't pay cash anymore,6,now you cant pay cash anymore,6,cant pay cash anymore,4
,0,,0,,0
quick response from cs,4,quick response from cs,4,quick response cs,3
good,1,good,1,good,1
best hello doc,3,best hello doc,3,best hello doc,3
"i've looked at an oxycan for my grandma and luckily found one to buy. but unfortunately, after tracking for one day, the order has been canceled and it has been canceled twice. i know that the stock is limited, but please give us a precise update for the stock. and also, please expand the pharmacy range (like don't just from the nearest house, expand it more + detail so that we can find more possibilities for a certain drug/need). thank you.",81,ive looked at an oxycan for my grandma and luckily found one to buy but unfortunately after tracking for one day the order has been canceled and it has been canceled twice  know that the stock is limited but please give us  precise update for the stock and also please expand the pharmacy range like dont just from the nearest house expand it more detail so that we can find more possibilities for  certain drugneed thank you,77,ive looked oxycan grandma luckily found one buy unfortunately tracking one day order canceled canceled twice know stock limited please give us precise update stock also please expand pharmacy range like dont nearest house expand detail find possibilities certain drugneed thank,41
"very helpful app, doctors are available 24 hours. doctors are friendly and give advice not just prescriptions. niceee app",19,very helpful app doctors are available hours doctors are friendly and give advice not just prescriptions niceee app,18,helpful app doctors available hours doctors friendly give advice prescriptions niceee app,12
this is cool,3,this is cool,3,cool,1
slow response,2,slow response,2,slow response,2
helfpul.,1,helfpul,1,helfpul,1
fast handling.. the doctor's fee is also cheaper compared to seeing a doctor directly at the hospital 😅 the key is to be able to explain in detail the symptoms felt and previous medical history.,35,fast handling the doctors fee is also cheaper compared to seeing  doctor directly at the hospital the key is to be able to explain in detail the symptoms felt and previous medical history,33,fast handling doctors fee also cheaper compared seeing doctor directly hospital key able explain detail symptoms felt previous medical history,20
